SYMBOL,SERIES,GAINS
INDSWFTLTD,EQ,0.18421052631578946
SYNCOMF,EQ,0.14792899742191917
NECLIFE,EQ,0.13636360053815605
MANAKALUCO,EQ,0.1188630073239229
MOREPENLAB,EQ,0.10779224742542613
TIL,BZ,0.10062890858091446
EKC,EQ,0.09462368872857863
SHILPAMED,EQ,0.0926414633696934
VIVIMEDLAB,BZ,0.0904761723109654
KANDARP,SM,0.08695650671590574
BTML,SM,0.08565310352573594
FLEXITUFF,BE,0.08361777565647621
MAHICKRA,SM,0.07947019867549669
JFLLIFE,SM,0.07096776654643397
RNAVAL,BZ,0.06521743412053967
AMEYA,SM,0.0625
FOCUS,EQ,0.06188676942069576
UNIVASTU,EQ,0.05967336797806952
WFL,EQ,0.059124057890434914
NDTV,EQ,0.05759077131779751
UNIVCABLES,EQ,0.05674598330543155
KOTAKGOLD,EQ,0.055392909095360134
GSTL,SM,0.055000019073486325
SONUINFRA,SM,0.052631623440121615
BROOKS,EQ,0.05252626473534206
